lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	mode	model	score
제자	1	1	21	32	general	bert	65.625
표정	4	1	101	128	general	bert	78.9062
공고	1	1	24	32	general	bert	75.0
명예	2	2	50	64	general	bert	78.125
종목	1	1	27	32	general	bert	84.375
변칙	1	1	28	32	general	bert	87.5
독자	2	2	52	64	general	bert	81.25
사안	1	1	28	32	general	bert	87.5
성격	3	2	75	96	general	bert	78.125
서초	1	1	26	32	general	bert	81.25
마비	1	1	24	32	general	bert	75.0
소형	1	1	28	32	general	bert	87.5
마케팅	3	1	82	96	general	bert	85.4167
약속	2	1	49	64	general	bert	76.5625
절반	2	1	54	64	general	bert	84.375
책자	1	1	26	32	general	bert	81.25
이마	1	1	25	32	general	bert	78.125
조성	2	2	55	64	general	bert	85.9375
해	3	1	76	96	general	bert	79.1667
전환	3	1	74	96	general	bert	77.0833
개정	6	1	159	192	general	bert	82.8125
진실	2	1	37	64	general	bert	57.8125
세계	14	2	359	448	general	bert	80.1339
새끼	2	1	57	64	general	bert	89.0625
종류	3	1	73	96	general	bert	76.0417
보상	2	2	57	64	general	bert	89.0625
회비	1	1	29	32	general	bert	90.625
경위	1	1	25	32	general	bert	78.125
고층	1	1	21	32	general	bert	65.625
경우	1	1	25	32	general	bert	78.125
의식	1	1	25	32	general	bert	78.125
근거	1	1	25	32	general	bert	78.125
비중	3	1	80	96	general	bert	83.3333
불행	1	1	24	32	general	bert	75.0
전	11	1	298	352	general	bert	84.6591
아기	4	1	105	128	general	bert	82.0312
최대	2	1	53	64	general	bert	82.8125
감상	2	2	55	64	general	bert	85.9375
정리	3	2	79	96	general	bert	82.2917
발	5	1	135	160	general	bert	84.375
이틀	1	1	24	32	general	bert	75.0
활동	3	1	82	96	general	bert	85.4167
제작	2	1	52	64	general	bert	81.25
일	8	4	199	256	general	bert	77.7344
정밀	1	1	30	32	general	bert	93.75
의료	1	1	26	32	general	bert	81.25
교수	1	1	27	32	general	bert	84.375
군대	1	1	26	32	general	bert	81.25
임대	1	1	32	32	general	bert	100.0
상환	1	1	28	32	general	bert	87.5
식사	2	1	53	64	general	bert	82.8125
난색	2	1	51	64	general	bert	79.6875
주소	1	1	26	32	general	bert	81.25
전체	10	1	273	320	general	bert	85.3125
여당	2	1	53	64	general	bert	82.8125
신호	2	1	49	64	general	bert	76.5625
망치	1	1	25	32	general	bert	78.125
줄	1	1	26	32	general	bert	81.25
