lexeme	ambiguous	mode	model	score
군기	0	weighted	ft	100.0
교회	0	weighted	ft	50.0
잡초	0	weighted	ft	33.3333
노상	0	weighted	ft	25.0
쌍방	0	weighted	ft	20.0
미소	1	weighted	ft	33.3333
법인	0	weighted	ft	42.8571
안정	1	weighted	ft	50.0
주총	0	weighted	ft	55.5556
해이	0	weighted	ft	60.0
반입	0	weighted	ft	54.5455
선주	0	weighted	ft	58.3333
노임	0	weighted	ft	53.8462
익명	0	weighted	ft	57.1429
오피스텔	0	weighted	ft	53.3333
루터	0	weighted	ft	50.0
식구	1	weighted	ft	47.0588
두바이	0	weighted	ft	50.0
특검	0	weighted	ft	47.3684
건	0	weighted	ft	45.0
감산	0	weighted	ft	42.8571
차제	0	weighted	ft	40.9091
튀니지	0	weighted	ft	39.1304
유죄	1	weighted	ft	41.6667
승소	0	weighted	ft	40.0
캔버스	0	weighted	ft	38.4615
워싱턴	0	weighted	ft	37.037
떡	0	weighted	ft	39.2857
파악	1	weighted	ft	41.3793
조문	0	weighted	ft	40.0
필치	0	weighted	ft	41.9355
덕목	0	weighted	ft	40.625
번역	0	weighted	ft	39.3939
인사	1	weighted	ft	38.2353
적대	0	weighted	ft	40.0
비결	0	weighted	ft	38.8889
용액	0	weighted	ft	37.8378
갈	0	weighted	ft	36.8421
명단	0	weighted	ft	38.4615
일괄	0	weighted	ft	40.0
종가	0	weighted	ft	39.0244
영구	0	weighted	ft	38.0952
이달	0	weighted	ft	37.2093
하사	0	weighted	ft	36.3636
의혹	0	weighted	ft	35.5556
욕구	0	weighted	ft	34.7826
강단	0	weighted	ft	34.0426
컬링	0	weighted	ft	35.4167
우후죽순	0	weighted	ft	34.6939
인지	0	weighted	ft	36.0
예능	0	weighted	ft	35.2941
슬픔	0	weighted	ft	36.5385
획득	0	weighted	ft	35.8491
캄보디아	0	weighted	ft	35.1852
검정	1	weighted	ft	36.3636
화학	0	weighted	ft	35.7143
선교	1	weighted	ft	36.8421
타수	0	weighted	ft	36.2069
공사	1	weighted	ft	35.5932
각별	0	weighted	ft	35.0
군경	0	weighted	ft	34.4262
대비	1	weighted	ft	35.4839
우리	0	weighted	ft	34.9206
미대	0	weighted	ft	34.375
전형	0	weighted	ft	35.3846
의전	0	weighted	ft	34.8485
인간다움	0	weighted	ft	34.3284
역할	1	weighted	ft	35.2941
몰골	0	weighted	ft	34.7826
소결	0	weighted	ft	35.7143
키	1	weighted	ft	35.2113
아수라	0	weighted	ft	34.7222
본격	0	weighted	ft	34.2466
탈당	0	weighted	ft	33.7838
제자	0	weighted	ft	34.6667
