lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	mode	model	score
제자	1	1	21	32	weighted	bert	65.625
표정	4	1	31	32	weighted	bert	96.875
공고	1	1	24	32	weighted	bert	75.0
명예	2	2	28	32	weighted	bert	87.5
종목	1	1	27	32	weighted	bert	84.375
변칙	1	1	28	32	weighted	bert	87.5
독자	2	2	26	32	weighted	bert	81.25
사안	1	1	28	32	weighted	bert	87.5
성격	3	2	27	32	weighted	bert	84.375
서초	1	1	26	32	weighted	bert	81.25
마비	1	1	24	32	weighted	bert	75.0
소형	1	1	28	32	weighted	bert	87.5
마케팅	3	1	31	32	weighted	bert	96.875
약속	2	1	27	32	weighted	bert	84.375
절반	2	1	30	32	weighted	bert	93.75
책자	1	1	26	32	weighted	bert	81.25
이마	1	1	25	32	weighted	bert	78.125
조성	2	2	30	32	weighted	bert	93.75
해	3	1	30	32	weighted	bert	93.75
전환	3	1	25	32	weighted	bert	78.125
개정	6	1	31	32	weighted	bert	96.875
진실	2	1	19	32	weighted	bert	59.375
세계	14	2	29	32	weighted	bert	90.625
새끼	2	1	29	32	weighted	bert	90.625
종류	3	1	25	32	weighted	bert	78.125
보상	2	2	29	32	weighted	bert	90.625
회비	1	1	29	32	weighted	bert	90.625
경위	1	1	25	32	weighted	bert	78.125
고층	1	1	21	32	weighted	bert	65.625
경우	1	1	25	32	weighted	bert	78.125
의식	1	1	25	32	weighted	bert	78.125
근거	1	1	25	32	weighted	bert	78.125
비중	3	1	30	32	weighted	bert	93.75
불행	1	1	24	32	weighted	bert	75.0
전	11	1	28	32	weighted	bert	87.5
아기	4	1	29	32	weighted	bert	90.625
최대	2	1	25	32	weighted	bert	78.125
감상	2	2	30	32	weighted	bert	93.75
정리	3	2	27	32	weighted	bert	84.375
발	5	1	30	32	weighted	bert	93.75
이틀	1	1	24	32	weighted	bert	75.0
활동	3	1	29	32	weighted	bert	90.625
제작	2	1	28	32	weighted	bert	87.5
일	8	4	27	32	weighted	bert	84.375
정밀	1	1	30	32	weighted	bert	93.75
의료	1	1	26	32	weighted	bert	81.25
교수	1	1	27	32	weighted	bert	84.375
군대	1	1	26	32	weighted	bert	81.25
임대	1	1	32	32	weighted	bert	100.0
상환	1	1	28	32	weighted	bert	87.5
식사	2	1	27	32	weighted	bert	84.375
난색	2	1	26	32	weighted	bert	81.25
주소	1	1	26	32	weighted	bert	81.25
전체	10	1	31	32	weighted	bert	96.875
여당	2	1	26	32	weighted	bert	81.25
신호	2	1	25	32	weighted	bert	78.125
망치	1	1	25	32	weighted	bert	78.125
줄	1	1	26	32	weighted	bert	81.25
감면	1	1	26	32	weighted	bert	81.25
설계	1	1	22	32	weighted	bert	68.75
영문	1	1	23	32	weighted	bert	71.875
기회	2	1	30	32	weighted	bert	93.75
개별	1	1	27	32	weighted	bert	84.375
후원	1	1	25	32	weighted	bert	78.125
난국	2	1	24	32	weighted	bert	75.0
개혁	2	1	28	32	weighted	bert	87.5
전원	1	1	27	32	weighted	bert	84.375
소설	1	1	25	32	weighted	bert	78.125
여인	1	1	25	32	weighted	bert	78.125
인정	4	1	32	32	weighted	bert	100.0
최고	4	1	31	32	weighted	bert	96.875
습기	1	1	23	32	weighted	bert	71.875
농사	2	1	26	32	weighted	bert	81.25
공항	2	1	28	32	weighted	bert	87.5
책임	6	2	31	32	weighted	bert	96.875
발주	1	1	26	32	weighted	bert	81.25
꿈	7	2	26	32	weighted	bert	81.25
