lexeme	ambiguous	mode	model	score
군기	0	general	bert	0.0
교회	0	general	bert	50.0
법인	0	general	bert	33.3333
식구	1	general	bert	20.0
떡	0	general	bert	14.2857
파악	1	general	bert	11.1111
덕목	0	general	bert	20.0
인사	1	general	bert	33.3333
명단	0	general	bert	25.0
슬픔	0	general	bert	29.4118
획득	0	general	bert	33.3333
공사	1	general	bert	45.4545
대비	1	general	bert	52.0
우리	0	general	bert	50.0
미대	0	general	bert	51.8519
전형	0	general	bert	50.0
역할	1	general	bert	54.8387
몰골	0	general	bert	53.125
키	1	general	bert	55.8824
제자	0	general	bert	54.2857
초점	1	general	bert	55.5556
기타	1	general	bert	54.0541
일대	0	general	bert	55.2632
차단	1	general	bert	56.4103
밖	1	general	bert	59.5238
백방	0	general	bert	60.4651
명	0	general	bert	59.0909
편지	0	general	bert	67.2727
전집	0	general	bert	66.0714
해법	1	general	bert	67.2414
사안	1	general	bert	67.7966
부업	0	general	bert	65.5738
방송	0	general	bert	64.5161
영혼	1	general	bert	65.0794
배출	0	general	bert	64.0625
부탁	0	general	bert	64.6154
뮤지컬	0	general	bert	65.1515
시내	0	general	bert	64.1791
방면	0	general	bert	63.2353
빙수	0	general	bert	62.3188
신부	1	general	bert	62.8571
덕분	0	general	bert	63.3803
구성	1	general	bert	65.3333
패스	0	general	bert	64.4737
자료	1	general	bert	60.4938
수습	1	general	bert	60.9756
한족	0	general	bert	60.241
방어	1	general	bert	60.7143
당내	0	general	bert	59.0909
상실	0	general	bert	58.427
서비스	1	general	bert	59.7826
책자	0	general	bert	60.2151
승부	0	general	bert	58.9474
소녀	0	general	bert	57.1429
평균	0	general	bert	53.3333
진단	1	general	bert	54.2056
난국	0	general	bert	53.211
코트	0	general	bert	52.7273
형편	1	general	bert	51.7857
양식	0	general	bert	51.3274
다수	0	general	bert	51.7544
회장	1	general	bert	55.2846
정밀	0	general	bert	54.8387
파견	0	general	bert	55.2
사기	1	general	bert	55.5556
화제	1	general	bert	56.25
소설	1	general	bert	56.5891
조직	1	general	bert	57.5758
예측	0	general	bert	57.8947
반항	0	general	bert	58.209
억압	1	general	bert	58.5185
정리	1	general	bert	59.4203
사방	0	general	bert	58.9928
집행	1	general	bert	59.2857
충전	1	general	bert	59.5745
확보	1	general	bert	60.1399
목적	1	general	bert	60.6897
존재	1	general	bert	60.9589
소식	1	general	bert	62.0
전용	1	general	bert	62.2517
업체	1	general	bert	60.2564
생애	0	general	bert	59.8726
징계	1	general	bert	60.1266
종목	1	general	bert	60.3774
기술	1	general	bert	61.1111
성격	1	general	bert	61.8182
안전	0	general	bert	60.355
가보	0	general	bert	60.0
포함	1	general	bert	62.0112
기분	1	general	bert	59.5745
여진	0	general	bert	58.9474
반대	1	general	bert	60.0
예정	0	general	bert	59.0909
친구	1	general	bert	61.6114
정보	1	general	bert	61.7925
묵	0	general	bert	61.9718
임용	1	general	bert	62.1495
초등	0	general	bert	61.5741
세배	0	general	bert	61.7512
선물	0	general	bert	58.7719
해적	0	general	bert	58.952
살림	0	general	bert	59.4828
품질	0	general	bert	58.9744
접수	0	general	bert	58.7234
숙식	0	general	bert	58.4746
브루나이	0	general	bert	58.6498
시리아	0	general	bert	58.9958
단위	1	general	bert	59.1667
생각	1	general	bert	64.8746
발견	0	general	bert	64.4128
발행	1	general	bert	64.6643
확인	1	general	bert	65.6357
창조	0	general	bert	65.411
국민	1	general	bert	62.8289
이외	0	general	bert	63.0719
이식	1	general	bert	63.1922
가락	0	general	bert	62.987
협력	0	general	bert	63.1068
새벽	0	general	bert	61.5142
상황	1	general	bert	62.9179
투병	0	general	bert	63.0303
자율	0	general	bert	62.8399
출입	0	general	bert	62.6506
금액	0	general	bert	62.4625
응원	1	general	bert	62.5749
학원	1	general	bert	62.7976
부분	0	general	bert	63.1268
퇴장	0	general	bert	62.9412
당시	1	general	bert	63.6888
유혹	0	general	bert	63.7931
약	1	general	bert	63.8968
선정	1	general	bert	64.1026
기본	0	general	bert	64.2045
작품	1	general	bert	64.6067
이륙	0	general	bert	64.7059
분야	0	general	bert	65.097
빈도	0	general	bert	65.1934
잔	1	general	bert	65.3846
후	1	general	bert	64.6739
세금	0	general	bert	64.1509
중심	1	general	bert	64.6277
노병	1	general	bert	64.7215
개비	0	general	bert	64.5503
라디오	0	general	bert	64.3799
소	1	general	bert	64.4737
최고	1	general	bert	64.8438
손	1	general	bert	64.9351
가능	1	general	bert	64.1026
당직	0	general	bert	63.9386
근처	0	general	bert	64.0306
조치	1	general	bert	64.2132
일반	1	general	bert	64.6617
대치	0	general	bert	64.75
사망	1	general	bert	64.9254
공익	0	general	bert	64.7643
심통	0	general	bert	64.8515
거짓	0	general	bert	64.6914
환자	1	general	bert	64.951
가족	1	general	bert	65.9524
역량	0	general	bert	66.0333
영역	0	general	bert	65.721
운영	1	general	bert	66.1215
지디피	0	general	bert	66.2005
작동	0	general	bert	65.8933
부결	0	general	bert	65.5889
입안	0	general	bert	65.6682
신중	0	general	bert	65.9039
꼴찌	0	general	bert	65.9817
구단	1	general	bert	65.3846
항소	1	general	bert	65.4628
병원	1	general	bert	66.0
공부	1	general	bert	66.1504
사옥	1	general	bert	66.2252
불행	1	general	bert	66.2996
이유	1	general	bert	66.5208
채소	0	general	bert	66.5939
