lexeme	ambiguous	mode	model	score
군기	0	uniformed	bert	0.0
교회	0	uniformed	bert	50.0
법인	0	uniformed	bert	33.3333
식구	1	uniformed	bert	25.0
떡	0	uniformed	bert	20.0
파악	1	uniformed	bert	16.6667
덕목	0	uniformed	bert	28.5714
인사	1	uniformed	bert	37.5
명단	0	uniformed	bert	33.3333
슬픔	0	uniformed	bert	40.0
획득	0	uniformed	bert	45.4545
공사	1	uniformed	bert	41.6667
대비	1	uniformed	bert	46.1538
우리	0	uniformed	bert	42.8571
미대	0	uniformed	bert	46.6667
전형	0	uniformed	bert	43.75
역할	1	uniformed	bert	47.0588
몰골	0	uniformed	bert	44.4444
키	1	uniformed	bert	42.1053
제자	0	uniformed	bert	40.0
초점	1	uniformed	bert	42.8571
기타	1	uniformed	bert	40.9091
일대	0	uniformed	bert	43.4783
차단	1	uniformed	bert	45.8333
밖	1	uniformed	bert	48.0
백방	0	uniformed	bert	50.0
명	0	uniformed	bert	48.1481
편지	0	uniformed	bert	50.0
전집	0	uniformed	bert	48.2759
해법	1	uniformed	bert	50.0
사안	1	uniformed	bert	51.6129
부업	0	uniformed	bert	50.0
방송	0	uniformed	bert	48.4848
영혼	1	uniformed	bert	50.0
배출	0	uniformed	bert	48.5714
부탁	0	uniformed	bert	50.0
뮤지컬	0	uniformed	bert	51.3514
시내	0	uniformed	bert	50.0
방면	0	uniformed	bert	48.7179
빙수	0	uniformed	bert	47.5
신부	1	uniformed	bert	48.7805
덕분	0	uniformed	bert	50.0
구성	1	uniformed	bert	48.8372
패스	0	uniformed	bert	47.7273
자료	1	uniformed	bert	46.6667
수습	1	uniformed	bert	47.8261
한족	0	uniformed	bert	46.8085
방어	1	uniformed	bert	47.9167
당내	0	uniformed	bert	46.9388
상실	0	uniformed	bert	46.0
서비스	1	uniformed	bert	45.098
책자	0	uniformed	bert	46.1538
승부	0	uniformed	bert	45.283
소녀	0	uniformed	bert	44.4444
평균	0	uniformed	bert	45.4545
진단	1	uniformed	bert	46.4286
난국	0	uniformed	bert	45.614
코트	0	uniformed	bert	44.8276
형편	1	uniformed	bert	45.7627
양식	0	uniformed	bert	45.0
다수	0	uniformed	bert	45.9016
회장	1	uniformed	bert	46.7742
정밀	0	uniformed	bert	46.0317
파견	0	uniformed	bert	46.875
사기	1	uniformed	bert	47.6923
화제	1	uniformed	bert	48.4848
소설	1	uniformed	bert	49.2537
조직	1	uniformed	bert	50.0
예측	0	uniformed	bert	50.7246
반항	0	uniformed	bert	51.4286
억압	1	uniformed	bert	52.1127
정리	1	uniformed	bert	52.7778
사방	0	uniformed	bert	52.0548
집행	1	uniformed	bert	52.7027
충전	1	uniformed	bert	53.3333
확보	1	uniformed	bert	53.9474
목적	1	uniformed	bert	54.5455
존재	1	uniformed	bert	55.1282
소식	1	uniformed	bert	55.6962
전용	1	uniformed	bert	56.25
업체	1	uniformed	bert	55.5556
생애	0	uniformed	bert	54.878
징계	1	uniformed	bert	55.4217
종목	1	uniformed	bert	55.9524
기술	1	uniformed	bert	56.4706
성격	1	uniformed	bert	55.814
안전	0	uniformed	bert	55.1724
가보	0	uniformed	bert	54.5455
포함	1	uniformed	bert	53.9326
기분	1	uniformed	bert	53.3333
여진	0	uniformed	bert	52.7473
반대	1	uniformed	bert	52.1739
예정	0	uniformed	bert	51.6129
친구	1	uniformed	bert	51.0638
정보	1	uniformed	bert	51.5789
묵	0	uniformed	bert	52.0833
임용	1	uniformed	bert	52.5773
초등	0	uniformed	bert	52.0408
세배	0	uniformed	bert	52.5253
선물	0	uniformed	bert	52.0
해적	0	uniformed	bert	52.4752
살림	0	uniformed	bert	52.9412
품질	0	uniformed	bert	52.4272
접수	0	uniformed	bert	51.9231
숙식	0	uniformed	bert	51.4286
브루나이	0	uniformed	bert	51.8868
시리아	0	uniformed	bert	52.3364
단위	1	uniformed	bert	52.7778
생각	1	uniformed	bert	52.2936
발견	0	uniformed	bert	51.8182
발행	1	uniformed	bert	52.2523
확인	1	uniformed	bert	51.7857
창조	0	uniformed	bert	51.3274
국민	1	uniformed	bert	51.7544
이외	0	uniformed	bert	52.1739
이식	1	uniformed	bert	52.5862
가락	0	uniformed	bert	52.1368
협력	0	uniformed	bert	52.5424
새벽	0	uniformed	bert	52.9412
상황	1	uniformed	bert	52.5
투병	0	uniformed	bert	52.8926
자율	0	uniformed	bert	52.459
출입	0	uniformed	bert	52.0325
금액	0	uniformed	bert	51.6129
응원	1	uniformed	bert	52.0
학원	1	uniformed	bert	52.381
부분	0	uniformed	bert	52.7559
퇴장	0	uniformed	bert	52.3438
당시	1	uniformed	bert	51.938
유혹	0	uniformed	bert	52.3077
약	1	uniformed	bert	52.6718
선정	1	uniformed	bert	53.0303
기본	0	uniformed	bert	53.3835
작품	1	uniformed	bert	53.7313
이륙	0	uniformed	bert	54.0741
분야	0	uniformed	bert	54.4118
빈도	0	uniformed	bert	54.7445
잔	1	uniformed	bert	55.0725
후	1	uniformed	bert	54.6763
세금	0	uniformed	bert	54.2857
중심	1	uniformed	bert	54.6099
노병	1	uniformed	bert	54.9296
개비	0	uniformed	bert	54.5455
라디오	0	uniformed	bert	54.1667
소	1	uniformed	bert	54.4828
최고	1	uniformed	bert	54.7945
손	1	uniformed	bert	55.102
가능	1	uniformed	bert	54.7297
당직	0	uniformed	bert	54.3624
근처	0	uniformed	bert	54.6667
조치	1	uniformed	bert	54.9669
일반	1	uniformed	bert	55.2632
대치	0	uniformed	bert	55.5556
사망	1	uniformed	bert	55.8442
공익	0	uniformed	bert	55.4839
심통	0	uniformed	bert	55.7692
거짓	0	uniformed	bert	55.414
환자	1	uniformed	bert	55.6962
가족	1	uniformed	bert	55.3459
역량	0	uniformed	bert	55.625
영역	0	uniformed	bert	55.2795
운영	1	uniformed	bert	54.9383
지디피	0	uniformed	bert	55.2147
작동	0	uniformed	bert	54.878
부결	0	uniformed	bert	54.5455
입안	0	uniformed	bert	54.8193
신중	0	uniformed	bert	55.0898
꼴찌	0	uniformed	bert	55.3571
구단	1	uniformed	bert	55.0296
항소	1	uniformed	bert	55.2941
병원	1	uniformed	bert	55.5556
공부	1	uniformed	bert	55.814
사옥	1	uniformed	bert	56.0694
불행	1	uniformed	bert	56.3218
이유	1	uniformed	bert	56.5714
채소	0	uniformed	bert	56.8182
충남	0	uniformed	bert	57.0621
케이블	0	uniformed	bert	56.7416
구조	1	uniformed	bert	56.9832
지하	0	uniformed	bert	57.2222
컨테이너	1	uniformed	bert	56.9061
서울	1	uniformed	bert	57.1429
개편	1	uniformed	bert	57.377
스승	0	uniformed	bert	57.6087
채용	1	uniformed	bert	57.8378
곡선	0	uniformed	bert	57.5269
도입	0	uniformed	bert	57.2193
병실	0	uniformed	bert	57.4468
당일	0	uniformed	bert	57.672
지표	0	uniformed	bert	57.8947
의견	1	uniformed	bert	57.5916
소스	0	uniformed	bert	57.2917
강조	0	uniformed	bert	57.513
의제	1	uniformed	bert	57.2165
화엄	0	uniformed	bert	56.9231
압박	1	uniformed	bert	57.1429
집착	0	uniformed	bert	56.8528
정신	1	uniformed	bert	57.0707
연회	0	uniformed	bert	57.2864
이행	0	uniformed	bert	57.0
출신	0	uniformed	bert	56.7164
