lexeme	ambiguous	mode	model	score
군기	0	uniformed	w2v	0.0
교회	0	uniformed	w2v	50.0
잡초	0	uniformed	w2v	66.6667
노상	0	uniformed	w2v	75.0
쌍방	0	uniformed	w2v	60.0
미소	1	uniformed	w2v	66.6667
법인	0	uniformed	w2v	71.4286
안정	1	uniformed	w2v	75.0
주총	0	uniformed	w2v	77.7778
해이	0	uniformed	w2v	80.0
반입	0	uniformed	w2v	72.7273
선주	0	uniformed	w2v	66.6667
노임	0	uniformed	w2v	61.5385
익명	0	uniformed	w2v	57.1429
오피스텔	0	uniformed	w2v	53.3333
루터	0	uniformed	w2v	50.0
식구	1	uniformed	w2v	52.9412
두바이	0	uniformed	w2v	50.0
특검	0	uniformed	w2v	47.3684
건	0	uniformed	w2v	45.0
감산	0	uniformed	w2v	47.619
차제	0	uniformed	w2v	50.0
튀니지	0	uniformed	w2v	47.8261
유죄	1	uniformed	w2v	50.0
승소	0	uniformed	w2v	48.0
캔버스	0	uniformed	w2v	46.1538
워싱턴	0	uniformed	w2v	48.1481
떡	0	uniformed	w2v	46.4286
파악	1	uniformed	w2v	44.8276
조문	0	uniformed	w2v	43.3333
필치	0	uniformed	w2v	41.9355
덕목	0	uniformed	w2v	43.75
번역	0	uniformed	w2v	45.4545
인사	1	uniformed	w2v	44.1176
적대	0	uniformed	w2v	42.8571
비결	0	uniformed	w2v	41.6667
용액	0	uniformed	w2v	40.5405
갈	0	uniformed	w2v	39.4737
명단	0	uniformed	w2v	41.0256
일괄	0	uniformed	w2v	40.0
종가	0	uniformed	w2v	41.4634
영구	0	uniformed	w2v	40.4762
이달	0	uniformed	w2v	41.8605
하사	0	uniformed	w2v	40.9091
의혹	0	uniformed	w2v	40.0
욕구	0	uniformed	w2v	39.1304
강단	0	uniformed	w2v	40.4255
컬링	0	uniformed	w2v	39.5833
우후죽순	0	uniformed	w2v	40.8163
인지	0	uniformed	w2v	40.0
예능	0	uniformed	w2v	41.1765
슬픔	0	uniformed	w2v	40.3846
획득	0	uniformed	w2v	41.5094
캄보디아	0	uniformed	w2v	40.7407
검정	1	uniformed	w2v	40.0
화학	0	uniformed	w2v	39.2857
선교	1	uniformed	w2v	40.3509
타수	0	uniformed	w2v	39.6552
공사	1	uniformed	w2v	40.678
각별	0	uniformed	w2v	40.0
군경	0	uniformed	w2v	39.3443
대비	1	uniformed	w2v	40.3226
우리	0	uniformed	w2v	39.6825
미대	0	uniformed	w2v	39.0625
전형	0	uniformed	w2v	38.4615
의전	0	uniformed	w2v	37.8788
인간다움	0	uniformed	w2v	38.806
역할	1	uniformed	w2v	39.7059
