lexeme	ambiguous	score
무궁	0	0.0
지번	0	0.0
경계	1	33.3333
세기	1	25.0
진로	1	20.0
일선	0	16.6667
응징	0	28.5714
각	0	37.5
패러디	0	33.3333
국격	0	40.0
중간	1	45.4545
라섹	0	50.0
매수	1	46.1538
사우디아라비아	0	50.0
탁구	0	46.6667
사격	0	43.75
책상	0	47.0588
인재	1	50.0
핵	1	52.6316
명명	0	55.0
만반	0	57.1429
구별	0	54.5455
갑	0	52.1739
홈런	0	54.1667
컨설팅	0	52.0
김포	0	50.0
책사	0	48.1481
세대	1	50.0
추신	0	51.7241
풍미	0	50.0
진짜	0	51.6129
타협	0	53.125
결성	0	54.5455
타깃	0	52.9412
빈소	0	54.2857
정책	1	55.5556
석탑	0	56.7568
담합	1	55.2632
문호	1	53.8462
와이엠시에이	0	55.0
시립	0	56.0976
분진	0	54.7619
감사	1	55.814
용납	0	56.8182
이식	1	55.5556
숙제	1	54.3478
풍	0	55.3191
최근	1	56.25
변환	0	57.1429
개	0	58.0
경위	1	56.8627
총괄	0	55.7692
벽면	0	56.6038
사색	0	57.4074
제기	1	56.3636
평전	0	55.3571
편리	0	54.386
시료	0	55.1724
전화	1	54.2373
공백	0	53.3333
관세	1	52.459
친정	0	51.6129
전거	0	52.381
입사	1	53.125
상쇄	0	53.8462
근접	0	54.5455
노	0	53.7313
구인	0	54.4118
마피아	0	53.6232
서류	0	52.8571
질감	0	52.1127
극찬	0	51.3889
개발	1	52.0548
패소	0	51.3514
오차	0	50.6667
피시	0	51.3158
가담	0	50.6494
토막	0	50.0
재치	0	50.6329
창조	0	50.0
결합	1	49.3827
사면	1	48.7805
발화	0	48.1928
공작	0	48.8095
애착	0	48.2353
산지	1	48.8372
센서	0	49.4253
박식	0	48.8636
창립	0	48.3146
개편	1	48.8889
이야기	1	48.3516
비난	0	47.8261
일촉즉발	0	47.3118
사단	0	47.8723
강좌	0	47.3684
동거	0	47.9167
유탄	0	47.4227
잔해	0	46.9388
숙고	0	47.4747
교통	0	47.0
시보	0	47.5248
위임	0	48.0392
뿌리	1	47.5728
응수	0	47.1154
성과	0	47.619
섭렵	0	47.1698
유죄	1	47.6636
전념	0	48.1481
법정	1	47.7064
감원	0	47.2727
유령	1	46.8468
전력	1	46.4286
맘	1	46.9027
군축	0	47.3684
표결	0	47.8261
품	0	47.4138
당원	0	47.8632
고철	0	48.3051
기억	1	48.7395
도전	1	49.1667
제공	1	49.5868
출하	0	50.0
해킹	0	49.5935
트래픽	0	50.0
기호	1	50.4
소용	0	50.0
오디션	0	50.3937
사양	0	50.0
샴페인	0	50.3876
기장	0	50.7692
소치	0	50.3817
연극	0	50.7576
원격	0	50.3759
성공	1	50.0
좌선	0	49.6296
소원	1	50.0
전지	1	50.365
투기	0	50.7246
제주	1	51.0791
국모	0	51.4286
팝콘	0	51.0638
이주	0	51.4085
재정	1	51.7483
실리	0	51.3889
빛	0	51.7241
연마	0	52.0548
복귀	1	51.7007
역사	1	52.027
중지	0	51.6779
헌신	0	51.3333
금연	1	50.9934
우위	0	51.3158
교부	0	50.9804
조회	0	50.6494
커플	0	50.3226
부결	0	50.641
동향	1	50.3185
싸움	0	50.0
매연	0	49.6855
심장	0	50.0
폭탄	0	50.3106
창고	0	50.6173
고종	1	50.9202
소관	0	51.2195
스토리	0	51.5152
자문	0	51.2048
양구	0	50.8982
리콜	0	50.5952
퇴사	0	50.2959
출시	0	50.5882
통	1	50.8772
사원	0	51.1628
봉투	0	51.4451
담보	1	51.1494
사이클	0	51.4286
마음	1	51.1364
닭	0	50.8475
상시	1	51.1236
평화	1	51.3966
감수	1	51.6667
입증	1	51.9337
동반	1	51.6484
울산	0	51.9126
층	1	52.1739
관할	0	52.4324
개념	1	52.1505
모퉁이	0	52.4064
직업	0	52.1277
탈	1	52.381
구설	0	52.1053
중순	0	51.8325
산중	0	51.5625
질책	0	51.8135
동아리	0	52.0619
확산	1	51.7949
의미	1	52.0408
비단	0	52.2843
정성	1	52.5253
모바일	0	52.7638
현혹	0	53.0
쌍방	0	52.7363
각막	0	52.4752
방황	1	52.7094
공채	0	52.451
발령	1	52.1951
동	1	52.4272
결사	0	52.657
체온	0	52.4038
테러	0	52.6316
공금	0	52.381
밑	1	52.6066
해경	0	52.3585
맨체스터	0	52.1127
둔화	0	51.8692
강호	0	51.6279
독	1	51.8519
경합	1	51.6129
현실	1	51.8349
수사	1	51.5982
배격	0	51.8182
업종	0	51.5837
깨달음	0	51.8018
악화	1	51.5695
방침	1	51.7857
식품	0	51.5556
신뢰	1	51.3274
고시	0	51.1013
고리	1	50.8772
안양	0	50.655
브루나이	0	50.4348
타국	0	50.2165
제전	1	50.431
소화	1	50.6438
권	1	50.8547
문의	1	51.0638
개시	0	50.8475
학원	1	50.6329
예외	0	50.8403
속보	0	50.6276
주미	0	50.8333
곤경	0	51.0373
역부족	0	51.2397
창의	0	51.4403
훈계	0	51.6393
재난	0	51.8367
묘역	0	51.626
사관	1	51.8219
후쿠시마	0	52.0161
파티	0	51.8072
즉사	0	51.6
실행	1	51.3944
바이오시밀러	0	51.5873
모임	0	51.7787
특구	0	51.5748
메르스	0	51.3725
궁핍	0	51.1719
약점	0	51.3619
지략	0	51.5504
부채	0	51.7375
왕국	0	51.5385
나무	0	51.7241
말미	0	51.5267
아메리카노	0	51.3308
조	1	51.1364
상실	0	50.9434
팩트	0	51.1278
벨	0	50.9363
수유	0	50.7463
품귀	0	50.5576
집행	1	50.7407
한우	0	50.5535
낙선	0	50.7353
태국	0	50.9158
획득	0	50.7299
기녀	0	50.5455
합창	0	50.3623
매진	0	50.1805
신약	0	50.0
작	0	49.8208
숲	0	50.0
면제	0	50.1779
카운터	0	50.0
워싱턴	0	49.8233
체중	0	50.0
방해	0	50.1754
잔치	0	50.0
영리	0	49.8258
보스턴	0	50.0
발레	0	49.827
영국	0	49.6552
음주	0	49.4845
염두	1	49.6575
대권	0	49.8294
보증	0	49.6599
공유	1	49.4915
원년	0	49.6622
창문	0	49.4949
개막	0	49.6644
중증	0	49.8328
취합	0	49.6667
베네치아	0	49.5017
경협	0	49.6689
해군	1	49.505
압박	1	49.6711
티켓	0	49.5082
순록	0	49.6732
배급	0	49.8371
인체	0	50.0
경제	1	49.8382
홀	0	49.6774
선례	0	49.8392
왕릉	0	50.0
고소	0	50.1597
감찰	0	50.0
모순	0	49.8413
궁예	0	50.0
정자	1	50.1577
제로	0	50.0
선비	1	50.1567
전자	0	50.3125
해적	0	50.1558
악수	0	50.3106
경인	0	50.1548
풍랑	0	50.0
증언	0	49.8462
교감	0	50.0
체형	0	49.8471
조장	1	49.6951
구출	0	49.848
양식	0	49.697
납부	0	49.8489
죄질	0	49.6988
근대	0	49.8498
흥분	0	50.0
보충	0	50.1493
외압	0	50.0
업적	0	49.8516
실언	0	49.7041
분기	1	49.5575
귀농	0	49.4118
검정	1	49.2669
폭염	0	49.1228
뮌헨	0	48.9796
보람	0	49.1279
안토시아닌	0	48.9855
여행	1	49.1329
부하	1	49.2795
실시	1	49.1379
정례	0	49.2837
한미일	0	49.1429
유자	0	49.2877
나이지리아	0	49.4318
합격	1	49.5751
보장	1	49.435
부식	0	49.2958
경주	0	49.4382
가시	0	49.5798
바탕	1	49.4413
건축	0	49.5822
호화	0	49.4444
감미	0	49.5845
엘피	0	49.4475
폐품	0	49.5868
영동	0	49.7253
움직임	1	49.863
성남	0	50.0
실정	1	50.1362
이내	0	50.2717
건	0	50.1355
세상	1	50.2703
우익	0	50.1348
구리	1	50.2688
일본	1	50.4021
함락	0	50.5348
단속	1	50.6667
베테랑	0	50.7979
감성	0	50.6631
수교	1	50.5291
중층	0	50.3958
보유	1	50.2632
프린트	0	50.1312
납득	0	50.0
정선	0	49.8695
후퇴	1	49.7396
대장	1	49.8701
위	1	49.7409
만사	0	49.6124
반도	0	49.4845
디도스	0	49.3573
인선	0	49.2308
한창	0	49.1049
종일	0	48.9796
제안	1	48.855
반대	1	48.9848
결속	0	48.8608
격퇴	0	48.9899
스스로	0	48.8665
귀환	0	48.7437
유망	0	48.6216
모욕	0	48.75
떼	0	48.8778
무단	0	49.005
코치	0	49.1315
침체	0	49.2574
지붕	0	49.3827
티셔츠	0	49.5074
기초	0	49.3857
총력	0	49.2647
요인	1	49.1443
프레임	0	49.0244
역전	1	49.1484
해악	0	49.2718
부지런	0	49.3947
동지	0	49.2754
현대	0	49.3976
영문	0	49.5192
장외	0	49.4005
공조	1	49.2823
득점	0	49.1647
덤핑	0	49.2857
확률	0	49.1686
호조	0	49.2891
강행	1	49.1726
하락	0	49.0566
덕분	0	49.1765
색인	0	49.2958
반장	1	49.4145
세균	0	49.2991
현장	1	49.1841
대수	1	49.0698
우루무치	0	48.9559
지도	1	49.0741
애매	0	49.1917
종가	0	49.0783
털	0	49.1954
점검	0	49.0826
역경	0	48.9703
경신	1	49.0868
수분	0	49.2027
불법	1	49.3182
멜로	0	49.2063
연립	0	49.3213
랜드마크	0	49.2099
번개	0	49.3243
이첩	0	49.2135
콘셉트	0	49.1031
컬러	0	48.9933
경칩	0	48.8839
부합	0	48.7751
사고	1	48.8889
방패	0	49.0022
근절	1	48.8938
각광	1	49.0066
파이	0	48.8987
납치	0	49.011
동전	1	49.1228
앞	1	49.0153
이후	1	48.9083
본질	0	49.0196
엔진	0	49.1304
정황	0	49.0239
이슬람	0	48.9177
휴직	0	49.0281
회견	0	48.9224
플러스	0	48.8172
변질	0	48.7124
연령	0	48.8223
폐	1	48.9316
비축	0	48.8273
동티모르	0	48.9362
유색	0	48.8323
유용	0	48.9407
건보	0	49.0486
희망	1	49.1561
자식	0	49.0526
챔피언십	0	49.1597
여	1	49.2662
개체	0	49.3724
배차	0	49.4781
대처	1	49.375
납품	0	49.4802
벗	0	49.3776
구상	0	49.2754
도리	0	49.3802
해발	0	49.2784
퇴장	0	49.177
쿠리에	0	49.076
우선	1	49.1803
수명	1	49.2843
메카	0	49.1837
공식	0	49.0835
단어	0	48.9837
핸드볼	0	48.8844
지향	1	48.7854
내심	0	48.8889
규정	1	48.7903
물량	0	48.6922
추석	0	48.7952
피해	1	48.8978
당	1	49.0
농업	0	49.1018
게재	0	49.004
이별	0	49.1054
직원	1	49.2063
형벌	0	49.1089
모두	0	49.0119
마찬가지	0	48.9152
항해	0	49.0157
가축	0	48.9194
주목	1	48.8235
녹화	0	48.728
가용	0	48.6328
원주	0	48.7329
터미널	0	48.6381
기류	0	48.7379
입점	0	48.6434
유	1	48.5493
이공	0	48.6486
오전	1	48.5549
취리히	0	48.4615
빌라	0	48.5605
공임	0	48.4674
중추	0	48.3748
힌트	0	48.4733
청결	0	48.5714
자신	1	48.6692
육로	0	48.7666
우호	0	48.8636
외면	1	48.9603
농도	0	49.0566
부검	0	48.9642
차지	1	48.8722
