lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	mode	model	score
제자	1	1	27	32	uniformed	ft	84.375
표정	4	1	22	32	uniformed	ft	68.75
공고	1	1	28	32	uniformed	ft	87.5
명예	2	2	29	32	uniformed	ft	90.625
종목	1	1	28	32	uniformed	ft	87.5
변칙	1	1	28	32	uniformed	ft	87.5
독자	2	2	25	32	uniformed	ft	78.125
사안	1	1	29	32	uniformed	ft	90.625
성격	3	2	25	32	uniformed	ft	78.125
서초	1	1	29	32	uniformed	ft	90.625
마비	1	1	30	32	uniformed	ft	93.75
소형	1	1	29	32	uniformed	ft	90.625
마케팅	3	1	27	32	uniformed	ft	84.375
약속	2	1	29	32	uniformed	ft	90.625
절반	2	1	26	32	uniformed	ft	81.25
책자	1	1	28	32	uniformed	ft	87.5
이마	1	1	28	32	uniformed	ft	87.5
조성	2	2	25	32	uniformed	ft	78.125
해	3	1	24	32	uniformed	ft	75.0
전환	3	1	23	32	uniformed	ft	71.875
개정	6	1	22	32	uniformed	ft	68.75
진실	2	1	26	32	uniformed	ft	81.25
세계	14	2	31	32	uniformed	ft	96.875
새끼	2	1	25	32	uniformed	ft	78.125
종류	3	1	25	32	uniformed	ft	78.125
보상	2	2	24	32	uniformed	ft	75.0
회비	1	1	31	32	uniformed	ft	96.875
경위	1	1	28	32	uniformed	ft	87.5
고층	1	1	27	32	uniformed	ft	84.375
경우	1	1	28	32	uniformed	ft	87.5
의식	1	1	27	32	uniformed	ft	84.375
근거	1	1	31	32	uniformed	ft	96.875
비중	3	1	29	32	uniformed	ft	90.625
불행	1	1	28	32	uniformed	ft	87.5
전	11	1	22	32	uniformed	ft	68.75
아기	4	1	22	32	uniformed	ft	68.75
최대	2	1	25	32	uniformed	ft	78.125
감상	2	2	25	32	uniformed	ft	78.125
정리	3	2	17	32	uniformed	ft	53.125
발	5	1	21	32	uniformed	ft	65.625
이틀	1	1	28	32	uniformed	ft	87.5
활동	3	1	25	32	uniformed	ft	78.125
제작	2	1	24	32	uniformed	ft	75.0
일	8	4	19	32	uniformed	ft	59.375
정밀	1	1	28	32	uniformed	ft	87.5
