lexeme	ambiguous	mode	model	score
군기	0	weighted	bert	0.0
교회	0	weighted	bert	50.0
법인	0	weighted	bert	33.3333
식구	1	weighted	bert	25.0
떡	0	weighted	bert	20.0
파악	1	weighted	bert	16.6667
덕목	0	weighted	bert	28.5714
인사	1	weighted	bert	37.5
명단	0	weighted	bert	33.3333
슬픔	0	weighted	bert	40.0
획득	0	weighted	bert	45.4545
공사	1	weighted	bert	41.6667
대비	1	weighted	bert	46.1538
우리	0	weighted	bert	42.8571
미대	0	weighted	bert	46.6667
전형	0	weighted	bert	43.75
역할	1	weighted	bert	47.0588
몰골	0	weighted	bert	44.4444
키	1	weighted	bert	42.1053
제자	0	weighted	bert	40.0
초점	1	weighted	bert	42.8571
기타	1	weighted	bert	40.9091
일대	0	weighted	bert	43.4783
차단	1	weighted	bert	45.8333
밖	1	weighted	bert	48.0
백방	0	weighted	bert	50.0
명	0	weighted	bert	48.1481
편지	0	weighted	bert	50.0
전집	0	weighted	bert	48.2759
해법	1	weighted	bert	50.0
사안	1	weighted	bert	51.6129
부업	0	weighted	bert	50.0
방송	0	weighted	bert	48.4848
영혼	1	weighted	bert	50.0
배출	0	weighted	bert	48.5714
부탁	0	weighted	bert	50.0
뮤지컬	0	weighted	bert	51.3514
시내	0	weighted	bert	50.0
방면	0	weighted	bert	48.7179
빙수	0	weighted	bert	47.5
신부	1	weighted	bert	48.7805
덕분	0	weighted	bert	50.0
구성	1	weighted	bert	51.1628
패스	0	weighted	bert	50.0
자료	1	weighted	bert	48.8889
수습	1	weighted	bert	50.0
한족	0	weighted	bert	48.9362
방어	1	weighted	bert	50.0
당내	0	weighted	bert	48.9796
상실	0	weighted	bert	48.0
서비스	1	weighted	bert	47.0588
책자	0	weighted	bert	48.0769
승부	0	weighted	bert	47.1698
소녀	0	weighted	bert	46.2963
평균	0	weighted	bert	47.2727
진단	1	weighted	bert	48.2143
난국	0	weighted	bert	47.3684
코트	0	weighted	bert	46.5517
형편	1	weighted	bert	45.7627
양식	0	weighted	bert	45.0
다수	0	weighted	bert	45.9016
