lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	mode	model	score
제자	1	1	29	32	general	w2v	90.625
표정	4	1	116	128	general	w2v	90.625
공고	1	1	30	32	general	w2v	93.75
명예	2	2	53	64	general	w2v	82.8125
종목	1	1	29	32	general	w2v	90.625
변칙	1	1	30	32	general	w2v	93.75
독자	2	2	57	64	general	w2v	89.0625
사안	1	1	30	32	general	w2v	93.75
성격	3	2	91	96	general	w2v	94.7917
서초	1	1	30	32	general	w2v	93.75
마비	1	1	31	32	general	w2v	96.875
소형	1	1	30	32	general	w2v	93.75
마케팅	3	1	86	96	general	w2v	89.5833
약속	2	1	58	64	general	w2v	90.625
절반	2	1	58	64	general	w2v	90.625
책자	1	1	31	32	general	w2v	96.875
이마	1	1	31	32	general	w2v	96.875
조성	2	2	55	64	general	w2v	85.9375
해	3	1	81	96	general	w2v	84.375
전환	3	1	88	96	general	w2v	91.6667
개정	6	1	176	192	general	w2v	91.6667
진실	2	1	58	64	general	w2v	90.625
세계	14	2	415	448	general	w2v	92.6339
새끼	2	1	61	64	general	w2v	95.3125
종류	3	1	79	96	general	w2v	82.2917
보상	2	2	62	64	general	w2v	96.875
회비	1	1	30	32	general	w2v	93.75
경위	1	1	29	32	general	w2v	90.625
고층	1	1	30	32	general	w2v	93.75
경우	1	1	29	32	general	w2v	90.625
의식	1	1	30	32	general	w2v	93.75
근거	1	1	28	32	general	w2v	87.5
비중	3	1	87	96	general	w2v	90.625
불행	1	1	28	32	general	w2v	87.5
전	11	1	303	352	general	w2v	86.0795
아기	4	1	118	128	general	w2v	92.1875
최대	2	1	58	64	general	w2v	90.625
감상	2	2	62	64	general	w2v	96.875
정리	3	2	92	96	general	w2v	95.8333
발	5	1	135	160	general	w2v	84.375
이틀	1	1	29	32	general	w2v	90.625
활동	3	1	85	96	general	w2v	88.5417
제작	2	1	61	64	general	w2v	95.3125
일	8	4	211	256	general	w2v	82.4219
정밀	1	1	30	32	general	w2v	93.75
의료	1	1	30	32	general	w2v	93.75
교수	1	1	29	32	general	w2v	90.625
군대	1	1	29	32	general	w2v	90.625
임대	1	1	32	32	general	w2v	100.0
상환	1	1	32	32	general	w2v	100.0
식사	2	1	53	64	general	w2v	82.8125
난색	2	1	61	64	general	w2v	95.3125
주소	1	1	30	32	general	w2v	93.75
전체	10	1	305	320	general	w2v	95.3125
여당	2	1	62	64	general	w2v	96.875
신호	2	1	58	64	general	w2v	90.625
망치	1	1	29	32	general	w2v	90.625
줄	1	1	30	32	general	w2v	93.75
감면	1	1	30	32	general	w2v	93.75
설계	1	1	30	32	general	w2v	93.75
영문	1	1	30	32	general	w2v	93.75
기회	2	1	56	64	general	w2v	87.5
개별	1	1	30	32	general	w2v	93.75
후원	1	1	29	32	general	w2v	90.625
난국	2	1	57	64	general	w2v	89.0625
개혁	2	1	55	64	general	w2v	85.9375
전원	1	1	29	32	general	w2v	90.625
소설	1	1	29	32	general	w2v	90.625
여인	1	1	30	32	general	w2v	93.75
인정	4	1	116	128	general	w2v	90.625
최고	4	1	119	128	general	w2v	92.9688
습기	1	1	30	32	general	w2v	93.75
농사	2	1	58	64	general	w2v	90.625
공항	2	1	58	64	general	w2v	90.625
책임	6	2	181	192	general	w2v	94.2708
발주	1	1	30	32	general	w2v	93.75
꿈	7	2	190	224	general	w2v	84.8214
출발	3	1	90	96	general	w2v	93.75
부상	1	1	30	32	general	w2v	93.75
제정	1	1	29	32	general	w2v	90.625
바람	5	1	149	160	general	w2v	93.125
꽃	1	1	29	32	general	w2v	90.625
사항	1	1	28	32	general	w2v	87.5
얼굴	23	1	688	736	general	w2v	93.4783
제한	1	1	30	32	general	w2v	93.75
허리	1	1	28	32	general	w2v	87.5
영세	1	1	30	32	general	w2v	93.75
짓	1	1	30	32	general	w2v	93.75
