lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	score		
아이	35	1	15	32	46.875		
얼굴	23	1	18	32	56.25		
소리	19	1	20	32	62.5		
돈	17	1	15	32	46.875		Average score: 50.2939
자신	16	1	11	32	34.375		
남편	14	1	20	32	62.5		
올해	14	1	18	32	56.25		
필요	14	1	8	32	25		
의원	13	1	13	32	40.625		
사랑	13	1	11	32	34.375		
가슴	12	1	14	32	43.75		
국민	12	1	13	32	40.625		
상황	12	1	17	32	53.125		
딸	12	1	17	32	53.125		
사실	12	1	15	32	46.875		
선물	11	1	18	32	56.25		
편지	11	1	15	32	46.875		
연구	11	1	19	32	59.375		
전	11	1	14	32	43.75		
내년	11	1	17	32	53.125		
목표	11	1	14	32	43.75		
여부	10	1	14	32	43.75		
전체	10	1	18	32	56.25		
동안	10	1	19	32	59.375		
정책	10	1	21	32	65.625		
북한	10	1	16	32	50		
사업	10	1	20	32	62.5		
곳	9	1	19	32	59.375		
사이	9	1	19	32	59.375		
다양	9	1	20	32	62.5		
대상	9	1	14	32	43.75		
영화	9	1	11	32	34.375		
의견	9	1	16	32	50		
포함	9	1	18	32	56.25		
학교	9	1	13	32	40.625		
기분	9	1	15	32	46.875		
경제	8	1	17	32	53.125		
위	8	1	12	32	37.5		
여성	8	1	17	32	53.125		
관련	8	1	14	32	43.75		
조사	8	1	17	32	53.125		
방식	8	1	16	32	50		
새벽	8	1	16	32	50		
하늘	8	1	19	32	59.375		
규모	8	1	18	32	56.25		
확대	7	1	13	32	40.625		
시대	7	1	12	32	37.5		
교육	7	1	14	32	43.75		
방안	7	1	16	32	50		
국회	7	1	22	32	68.75		
평균	7	1	22	32	68.75		
여자	7	1	17	32	53.125		
국가	7	1	11	32	34.375		
당시	7	1	16	32	50		
관심	7	1	20	32	62.5		
참여	7	1	18	32	56.25		
조건	7	1	12	32	37.5		
마을	6	1	15	32	46.875		
개정	6	1	15	32	46.875		
음악	6	1	10	32	31.25		
인간	6	1	18	32	56.25		
가입	6	1	20	32	62.5		
그림	6	1	22	32	68.75		
노래	6	1	14	32	43.75		
학생	6	1	16	32	50		
직원	6	1	15	32	46.875		
처음	6	1	15	32	46.875		
방법	6	1	19	32	59.375		
능력	6	1	19	32	59.375		
해결	6	1	16	32	50		
수준	6	1	13	32	40.625		
준비	6	1	16	32	50		
봉투	6	1	21	32	65.625		
노력	6	1	17	32	53.125		
기억	6	1	16	32	50		
노인	6	1	17	32	53.125		
시절	6	1	20	32	62.5		
짐	6	1	14	32	43.75		
미래	6	1	16	32	50		
계획	6	1	11	32	34.375		
잠	5	1	20	32	62.5		
영향	5	1	18	32	56.25		
주민	5	1	18	32	56.25		
사회	5	1	22	32	68.75		
취임	5	1	14	32	43.75		
성공	5	1	17	32	53.125		
운영	5	1	17	32	53.125		
삶	5	1	12	32	37.5		
바람	5	1	18	32	56.25		
발	5	1	14	32	43.75		
대학	5	1	17	32	53.125		
국수	5	1	13	32	40.625		
개최	5	1	24	32	75		
가운데	5	1	17	32	53.125		
시즌	5	1	13	32	40.625		
서울	5	1	10	32	31.25		
매출	5	1	14	32	43.75		
업체	5	1	13	32	40.625		
추가	5	1	20	32	62.5		
가능	5	1	11	32	34.375		
제도	5	1	17	32	53.125		
발전	5	1	12	32	37.5		
일반	5	1	19	32	59.375		
중심	5	1	20	32	62.5		
공급	5	1	16	32	50		
역대	5	1	21	32	65.625		
반대	5	1	11	32	34.375		
현장	5	1	14	32	43.75		
점	5	1	21	32	65.625		
자료	5	1	17	32	53.125		
비판	4	1	15	32	46.875		
남성	4	1	21	32	65.625		
당내	4	1	16	32	50		
경쟁	4	1	18	32	56.25		
계기	4	1	15	32	46.875		
인정	4	1	18	32	56.25		
나이	4	1	20	32	62.5		
인력	4	1	18	32	56.25		
모양	4	1	16	32	50		
결과	4	1	17	32	53.125		
구단	4	1	16	32	50		
투표	4	1	18	32	56.25		
논의	4	1	11	32	34.375		
땅	4	1	13	32	40.625		
구성	4	1	18	32	56.25		
회의	4	1	12	32	37.5		
희망	4	1	21	32	65.625		
인터넷	4	1	17	32	53.125		
끝	4	1	17	32	53.125		
중국	4	1	18	32	56.25		
총장	4	1	17	32	53.125		
발표	4	1	12	32	37.5		
각종	4	1	14	32	43.75		
구간	4	1	17	32	53.125		
기조	4	1	17	32	53.125		
개편	4	1	13	32	40.625		
추진	4	1	15	32	46.875		
실패	4	1	15	32	46.875		
후	4	1	9	32	28.125		
야당	4	1	21	32	65.625		
시민	4	1	12	32	37.5		
고객	4	1	15	32	46.875		
표정	4	1	16	32	50		
감동	4	1	9	32	28.125		
입장	4	1	17	32	53.125		
판결	4	1	17	32	53.125		
최고	4	1	14	32	43.75		
올림픽	4	1	18	32	56.25		
분야	4	1	15	32	46.875		
마지막	4	1	14	32	43.75		
차원	4	1	16	32	50		
발생	4	1	18	32	56.25		
여행	4	1	14	32	43.75		
안전	4	1	17	32	53.125		
당	4	1	11	32	34.375		
날씨	4	1	13	32	40.625		
명단	4	1	15	32	46.875		
변화	4	1	19	32	59.375		
소식	4	1	20	32	62.5		
적용	4	1	15	32	46.875		
승리	4	1	21	32	65.625		
계속	4	1	18	32	56.25		
의미	4	1	14	32	43.75		
오늘	4	1	21	32	65.625		
이용	4	1	15	32	46.875		
도입	4	1	17	32	53.125		
아기	4	1	19	32	59.375		
마련	3	1	20	32	62.5		
모두	3	1	15	32	46.875		
비율	3	1	16	32	50		
법안	3	1	16	32	50		
라면	3	1	16	32	50		
지정	3	1	17	32	53.125		
강	3	1	14	32	43.75		
온라인	3	1	22	32	68.75		
향기	3	1	19	32	59.375		
나머지	3	1	15	32	46.875		
활동	3	1	16	32	50		
지속	3	1	17	32	53.125		
현재	3	1	19	32	59.375		
작성	3	1	16	32	50		
건물	3	1	16	32	50		
판매	3	1	16	32	50		
물론	3	1	15	32	46.875		
향후	3	1	11	32	34.375		
도움	3	1	16	32	50		
추세	3	1	17	32	53.125		
보장	3	1	21	32	65.625		
합의	3	1	14	32	43.75		
불	3	1	17	32	53.125		
마케팅	3	1	10	32	31.25		
사내	3	1	15	32	46.875		
경선	3	1	19	32	59.375		
신설	3	1	17	32	53.125		
우승	3	1	19	32	59.375		
소녀	3	1	12	32	37.5		
추억	3	1	14	32	43.75		
특별	3	1	14	32	43.75		
해	3	1	17	32	53.125		
형태	3	1	18	32	56.25		
협의	3	1	14	32	43.75		
개인	3	1	16	32	50		
대비	3	1	16	32	50		
공원	3	1	17	32	53.125		
사용	3	1	18	32	56.25		
해외	3	1	15	32	46.875		
단계	3	1	19	32	59.375		
나무	3	1	20	32	62.5		
비	3	1	17	32	53.125		
서비스	3	1	23	32	71.875		
부담	3	1	16	32	50		
이유	3	1	14	32	43.75		
밖	3	1	18	32	56.25		
작가	3	1	17	32	53.125		
이해	3	1	13	32	40.625		
평가	3	1	16	32	50		
명분	3	1	19	32	59.375		
핵심	3	1	17	32	53.125		
곁	3	1	18	32	56.25		
업무	3	1	17	32	53.125		
사진	3	1	14	32	43.75		
휴식	3	1	20	32	62.5		
수사	3	1	10	32	31.25		
정권	3	1	15	32	46.875		
예정	3	1	10	32	31.25		
역할	3	1	13	32	40.625		
지혜	3	1	16	32	50		
밤	3	1	19	32	59.375		
조직	3	1	13	32	40.625		
기술	3	1	21	32	65.625		
등록	3	1	14	32	43.75		
여유	3	1	16	32	50		
급	3	1	20	32	62.5		
연결	3	1	14	32	43.75		
출발	3	1	20	32	62.5		
외부	3	1	19	32	59.375		
신중	3	1	14	32	43.75		
공약	3	1	17	32	53.125		
운동	3	1	12	32	37.5		
환자	3	1	20	32	62.5		
결승	3	1	18	32	56.25		
비중	3	1	19	32	59.375		
부부	3	1	20	32	62.5		
살림	3	1	17	32	53.125		
세금	3	1	18	32	56.25		
경영	3	1	20	32	62.5		
활용	3	1	15	32	46.875		
전환	3	1	20	32	62.5		
부분	3	1	16	32	50		
진심	3	1	10	32	31.25		
프로그램	3	1	14	32	43.75		
매각	3	1	16	32	50		
여론	3	1	13	32	40.625		
시행	3	1	16	32	50		
수술	3	1	21	32	65.625		
종류	3	1	14	32	43.75		
이바지	3	1	18	32	56.25		
고개	3	1	20	32	62.5		
요구	3	1	17	32	53.125		
집회	3	1	16	32	50		
연장	2	1	18	32	56.25		
농장	2	1	17	32	53.125		
벽	2	1	19	32	59.375		
어깨	2	1	20	32	62.5		
위험	2	1	23	32	71.875		
승인	2	1	16	32	50		
독일	2	1	14	32	43.75		
과거	2	1	17	32	53.125		
사망	2	1	17	32	53.125		
고향	2	1	13	32	40.625		
안팎	2	1	16	32	50		
해소	2	1	15	32	46.875		
유명	2	1	18	32	56.25		
지표	2	1	15	32	46.875		
피아니스트	2	1	20	32	62.5		
협약	2	1	7	32	21.875		
방침	2	1	21	32	65.625		
상태	2	1	16	32	50		
통제	2	1	15	32	46.875		
원망	2	1	16	32	50		
유니폼	2	1	16	32	50		
시인	2	1	14	32	43.75		
애	2	1	13	32	40.625		
댁	2	1	12	32	37.5		
비용	2	1	18	32	56.25		
주장	2	1	16	32	50		
비교	2	1	15	32	46.875		
단체	2	1	18	32	56.25		
정비	2	1	12	32	37.5		
단장	2	1	18	32	56.25		
실천	2	1	17	32	53.125		
공정	2	1	15	32	46.875		
형편	2	1	16	32	50		
열매	2	1	23	32	71.875		
초등	2	1	16	32	50		
증세	2	1	14	32	43.75		
유지	2	1	22	32	68.75		
순간	2	1	12	32	37.5		
선발	2	1	20	32	62.5		
