lexeme	frequency of lexeme	sclasses num	num correct mlp	num all mlp	mode	model	score
제자	1	1	27	32	general	ft	84.375
표정	4	1	103	128	general	ft	80.4688
공고	1	1	28	32	general	ft	87.5
명예	2	2	58	64	general	ft	90.625
종목	1	1	28	32	general	ft	87.5
변칙	1	1	28	32	general	ft	87.5
독자	2	2	52	64	general	ft	81.25
사안	1	1	29	32	general	ft	90.625
성격	3	2	81	96	general	ft	84.375
서초	1	1	29	32	general	ft	90.625
마비	1	1	30	32	general	ft	93.75
소형	1	1	29	32	general	ft	90.625
마케팅	3	1	85	96	general	ft	88.5417
약속	2	1	58	64	general	ft	90.625
절반	2	1	55	64	general	ft	85.9375
책자	1	1	28	32	general	ft	87.5
이마	1	1	28	32	general	ft	87.5
조성	2	2	53	64	general	ft	82.8125
해	3	1	80	96	general	ft	83.3333
전환	3	1	79	96	general	ft	82.2917
개정	6	1	167	192	general	ft	86.9792
진실	2	1	55	64	general	ft	85.9375
세계	14	2	407	448	general	ft	90.8482
새끼	2	1	53	64	general	ft	82.8125
종류	3	1	83	96	general	ft	86.4583
보상	2	2	50	64	general	ft	78.125
회비	1	1	31	32	general	ft	96.875
경위	1	1	28	32	general	ft	87.5
고층	1	1	27	32	general	ft	84.375
경우	1	1	28	32	general	ft	87.5
의식	1	1	27	32	general	ft	84.375
근거	1	1	31	32	general	ft	96.875
비중	3	1	91	96	general	ft	94.7917
불행	1	1	28	32	general	ft	87.5
전	11	1	312	352	general	ft	88.6364
아기	4	1	100	128	general	ft	78.125
최대	2	1	53	64	general	ft	82.8125
감상	2	2	52	64	general	ft	81.25
정리	3	2	69	96	general	ft	71.875
발	5	1	133	160	general	ft	83.125
이틀	1	1	28	32	general	ft	87.5
활동	3	1	83	96	general	ft	86.4583
제작	2	1	51	64	general	ft	79.6875
일	8	4	194	256	general	ft	75.7812
정밀	1	1	28	32	general	ft	87.5
의료	1	1	30	32	general	ft	93.75
교수	1	1	29	32	general	ft	90.625
군대	1	1	29	32	general	ft	90.625
임대	1	1	27	32	general	ft	84.375
