lexeme	ambiguous	mode	model	score
군기	0	general	ft	100.0
교회	0	general	ft	20.0
잡초	0	general	ft	16.6667
노상	0	general	ft	14.2857
쌍방	0	general	ft	11.1111
미소	1	general	ft	33.3333
법인	0	general	ft	60.0
안정	1	general	ft	79.4872
주총	0	general	ft	80.4878
해이	0	general	ft	80.9524
반입	0	general	ft	72.3404
선주	0	general	ft	72.9167
노임	0	general	ft	71.4286
익명	0	general	ft	73.5849
오피스텔	0	general	ft	71.9298
루터	0	general	ft	70.6897
식구	1	general	ft	70.4918
두바이	0	general	ft	71.4286
특검	0	general	ft	64.2857
건	0	general	ft	62.5
감산	0	general	ft	61.6438
차제	0	general	ft	60.0
튀니지	0	general	ft	59.2105
유죄	1	general	ft	62.1951
승소	0	general	ft	60.7143
캔버스	0	general	ft	60.0
워싱턴	0	general	ft	56.6667
떡	0	general	ft	57.6087
파악	1	general	ft	66.3793
조문	0	general	ft	65.2542
필치	0	general	ft	65.5462
덕목	0	general	ft	65.0
번역	0	general	ft	63.4146
인사	1	general	ft	42.623
적대	0	general	ft	42.9348
비결	0	general	ft	42.7027
용액	0	general	ft	42.4731
갈	0	general	ft	42.246
명단	0	general	ft	46.5347
일괄	0	general	ft	46.798
종가	0	general	ft	46.5686
영구	0	general	ft	46.3415
이달	0	general	ft	46.1165
하사	0	general	ft	45.6731
의혹	0	general	ft	38.6179
욕구	0	general	ft	38.3065
강단	0	general	ft	38.1526
컬링	0	general	ft	38.4
우후죽순	0	general	ft	38.247
인지	0	general	ft	38.4921
예능	0	general	ft	37.7432
슬픔	0	general	ft	37.9845
획득	0	general	ft	37.5479
캄보디아	0	general	ft	37.4046
검정	1	general	ft	38.1132
화학	0	general	ft	37.6866
선교	1	general	ft	38.1481
타수	0	general	ft	37.4545
공사	1	general	ft	43.4211
각별	0	general	ft	43.1373
군경	0	general	ft	42.9967
대비	1	general	ft	49.5677
우리	0	general	ft	49.4253
미대	0	general	ft	49.2837
전형	0	general	ft	49.8584
의전	0	general	ft	49.7175
인간다움	0	general	ft	49.5775
역할	1	general	ft	44.7837
몰골	0	general	ft	44.6701
소결	0	general	ft	44.8101
키	1	general	ft	44.25
아수라	0	general	ft	44.1397
본격	0	general	ft	43.7037
탈당	0	general	ft	42.8571
제자	0	general	ft	43.4053
불화	0	general	ft	43.5407
다롄	0	general	ft	43.6754
상담	0	general	ft	43.0588
반문	0	general	ft	42.9577
순례	1	general	ft	43.3566
전기	0	general	ft	44.1379
초점	1	general	ft	44.6469
에너지	1	general	ft	46.1369
예시	0	general	ft	46.0352
기타	1	general	ft	45.4348
벨기에	0	general	ft	45.1404
홈	0	general	ft	44.9462
야	0	general	ft	45.182
생강	0	general	ft	45.0855
일대	0	general	ft	45.666
차단	1	general	ft	47.1193
향응	0	general	ft	46.9262
밖	1	general	ft	44.466
백방	0	general	ft	44.5736
명	0	general	ft	44.8276
전구	0	general	ft	44.7419
소지	1	general	ft	45.057
전방	0	general	ft	44.9715
비서	1	general	ft	45.6929
전지	1	general	ft	45.4376
함선	0	general	ft	45.3532
도심	0	general	ft	45.9559
편지	0	general	ft	45.098
에스토니아	0	general	ft	45.0178
영사	0	general	ft	45.1155
원폭	0	general	ft	44.9558
리시브	0	general	ft	45.053
전집	0	general	ft	44.9735
특보	0	general	ft	45.0704
갈망	0	general	ft	45.167
호흡	1	general	ft	45.359
과반	1	general	ft	45.5497
검토	1	general	ft	48.5149
전철	0	general	ft	48.7685
장담	0	general	ft	48.6885
포메이션	0	general	ft	48.6088
해법	1	general	ft	48.9431
억제	0	general	ft	48.7055
의중	0	general	ft	48.6268
현혹	0	general	ft	48.7097
곤혹	0	general	ft	48.8746
동의	1	general	ft	47.6489
국과수	0	general	ft	47.5743
퇴임	0	general	ft	47.4259
리콜	0	general	ft	47.1318
바이오시밀러	0	general	ft	47.1406
편입	0	general	ft	47.6263
사안	1	general	ft	46.4179
부업	0	general	ft	46.2798
포르투갈	0	general	ft	46.4392
카자흐	0	general	ft	46.5185
방송	0	general	ft	44.413
영혼	1	general	ft	44.6479
숙청	0	general	ft	44.5851
관점	1	general	ft	45.2778
프레임	0	general	ft	45.215
배출	0	general	ft	45.0276
정품	0	general	ft	44.9655
세르비아	0	general	ft	44.9036
부탁	0	general	ft	44.4142
알코올	0	general	ft	44.2935
뮤지컬	0	general	ft	44.1137
방	1	general	ft	45.0798
복구	0	general	ft	44.8413
우루과이	0	general	ft	45.0593
나토	0	general	ft	45.2756
필사	0	general	ft	45.2163
저하	1	general	ft	45.5729
초빙	0	general	ft	45.5137
수학	0	general	ft	45.3956
잔치	0	general	ft	45.4663
파계	0	general	ft	45.4075
초콜릿	0	general	ft	45.3488
시내	0	general	ft	45.9079
실점	0	general	ft	46.2516
위치	1	general	ft	46.9925
아우터	0	general	ft	46.9337
상	1	general	ft	47.198
야후	0	general	ft	47.0807
추출	1	general	ft	46.9641
방면	0	general	ft	47.0297
일간	0	general	ft	46.7405
빙수	0	general	ft	46.6258
요원	0	general	ft	46.398
신부	1	general	ft	46.7233
출몰	0	general	ft	46.6667
강호	0	general	ft	46.6102
차질	1	general	ft	47.2488
반도	0	general	ft	47.1924
군단	1	general	ft	47.4435
덕분	0	general	ft	46.9412
백제	0	general	ft	46.831
진상	0	general	ft	47.2028
심경	0	general	ft	47.093
잉어	0	general	ft	47.0383
통계	0	general	ft	46.8208
중대	1	general	ft	47.1871
구성	1	general	ft	48.2379
잡지	0	general	ft	48.4083
패스	0	general	ft	48.5777
선의	1	general	ft	48.7459
설치	1	general	ft	50.5783
재경	0	general	ft	50.6303
후속	0	general	ft	50.3657
환급	0	general	ft	50.4175
자료	1	general	ft	48.3483
상주	1	general	ft	48.503
사설	0	general	ft	48.3582
결산	0	general	ft	48.3101
수습	1	general	ft	48.5149
훼손	1	general	ft	48.8692
타인	0	general	ft	48.8212
화분	0	general	ft	48.7733
최종	0	general	ft	47.3333
철분	0	general	ft	47.2883
의술	0	general	ft	47.2433
한족	0	general	ft	47.1537
결방	0	general	ft	47.109
방어	1	general	ft	47.3088
코미디	0	general	ft	47.2642
잡스	0	general	ft	47.0865
코	0	general	ft	46.9541
산실	0	general	ft	46.9101
당내	0	general	ft	46.1751
상실	0	general	ft	45.9633
나비	0	general	ft	45.9212
대서	0	general	ft	45.8791
입건	0	general	ft	45.7117
서비스	1	general	ft	47.5022
봉	0	general	ft	47.4606
고수	1	general	ft	47.5983
방미	0	general	ft	47.6896
멘털	0	general	ft	47.7352
열흘	0	general	ft	47.6522
공조	1	general	ft	47.4459
이중	0	general	ft	47.4913
책자	0	general	ft	47.4503
심화	1	general	ft	47.9897
남미	0	general	ft	47.9078
단기	0	general	ft	47.6636
환기	0	general	ft	47.5827
근본	0	general	ft	47.5063
공주	0	general	ft	47.4662
속초	0	general	ft	47.5105
승부	0	general	ft	47.113
소녀	0	general	ft	47.2894
유능	0	general	ft	47.3772
평균	0	general	ft	46.4111
가와사키	0	general	ft	46.3733
흠	0	general	ft	46.3355
국군	0	general	ft	46.4663
진단	1	general	ft	46.2783
난국	0	general	ft	46.2036
코트	0	general	ft	46.129
취락	0	general	ft	46.0919
대조	0	general	ft	46.0177
치중	0	general	ft	46.1044
달러	0	general	ft	46.277
물자	0	general	ft	46.32
형편	1	general	ft	46.1355
명동	0	general	ft	46.1783
사장	1	general	ft	48.4756
수립	0	general	ft	48.8654
입양	0	general	ft	48.7179
노승	0	general	ft	48.7566
심장	0	general	ft	48.6832
상품	1	general	ft	49.369
경호	0	general	ft	49.444
양식	0	general	ft	49.5189
외신	0	general	ft	49.3363
팽배	0	general	ft	49.2636
엘리베이터	0	general	ft	49.2274
유보	0	general	ft	49.1912
다수	0	general	ft	48.9751
납득	0	general	ft	48.8321
회장	1	general	ft	52.4746
신형	0	general	ft	52.3327
장점	0	general	ft	52.262
예전	1	general	ft	51.6344
유토피아	0	general	ft	51.6
정밀	0	general	ft	51.3944
황해북도	0	general	ft	51.3603
배려	0	general	ft	50.9881
배추	0	general	ft	50.9211
전수	1	general	ft	51.0499
태산	0	general	ft	50.983
모험	0	general	ft	50.9162
원저	0	general	ft	50.9483
파견	0	general	ft	51.3619
안변	0	general	ft	51.3286
농락	0	general	ft	51.2953
편향	0	general	ft	51.3269
사기	1	general	ft	51.5464
제재	1	general	ft	52.2236
학점	0	general	ft	52.1905
일조	1	general	ft	52.0913
단일	0	general	ft	52.1216
화제	1	general	ft	52.1822
럭셔리	0	general	ft	52.1492
소설	1	general	ft	51.8542
입영	0	general	ft	51.7891
사병	0	general	ft	51.6917
계도	0	general	ft	51.6594
궁핍	0	general	ft	51.627
중복	0	general	ft	51.6573
지략	0	general	ft	51.6875
괴롭힘	0	general	ft	51.623
조직	1	general	ft	52.2195
학살	0	general	ft	52.027
예측	0	general	ft	51.8677
객주	0	general	ft	51.8972
약품	0	general	ft	51.8654
반항	0	general	ft	51.8337
칠기	0	general	ft	51.8632
폭력	0	general	ft	52.0973
억압	1	general	ft	52.1554
잣	0	general	ft	52.1238
곽	0	general	ft	52.0606
장갑	0	general	ft	51.9661
전국	1	general	ft	52.9621
