lexeme	ambiguous	mode	model	score
군기	0	general	w2v	0.0
교회	0	general	w2v	0.0
잡초	0	general	w2v	16.6667
노상	0	general	w2v	28.5714
쌍방	0	general	w2v	22.2222
미소	1	general	w2v	41.6667
법인	0	general	w2v	65.0
안정	1	general	w2v	82.0513
주총	0	general	w2v	78.0488
해이	0	general	w2v	78.5714
반입	0	general	w2v	70.2128
선주	0	general	w2v	68.75
노임	0	general	w2v	67.3469
익명	0	general	w2v	62.2642
오피스텔	0	general	w2v	64.9123
루터	0	general	w2v	63.7931
식구	1	general	w2v	65.5738
두바이	0	general	w2v	63.4921
특검	0	general	w2v	57.1429
건	0	general	w2v	55.5556
감산	0	general	w2v	56.1644
차제	0	general	w2v	57.3333
튀니지	0	general	w2v	56.5789
유죄	1	general	w2v	59.7561
승소	0	general	w2v	58.3333
캔버스	0	general	w2v	57.6471
워싱턴	0	general	w2v	60.0
떡	0	general	w2v	58.6957
파악	1	general	w2v	46.5517
조문	0	general	w2v	45.7627
필치	0	general	w2v	45.3782
덕목	0	general	w2v	45.8333
번역	0	general	w2v	44.7154
인사	1	general	w2v	62.8415
적대	0	general	w2v	62.5
비결	0	general	w2v	62.1622
용액	0	general	w2v	61.828
갈	0	general	w2v	61.4973
명단	0	general	w2v	64.3564
일괄	0	general	w2v	64.0394
종가	0	general	w2v	64.2157
영구	0	general	w2v	63.9024
이달	0	general	w2v	64.0777
하사	0	general	w2v	63.4615
의혹	0	general	w2v	53.6585
욕구	0	general	w2v	53.2258
강단	0	general	w2v	53.4137
컬링	0	general	w2v	53.2
우후죽순	0	general	w2v	53.3865
인지	0	general	w2v	53.1746
예능	0	general	w2v	54.0856
슬픔	0	general	w2v	53.876
획득	0	general	w2v	54.4061
캄보디아	0	general	w2v	54.1985
검정	1	general	w2v	53.5849
화학	0	general	w2v	52.9851
선교	1	general	w2v	53.3333
타수	0	general	w2v	52.3636
공사	1	general	w2v	56.9079
각별	0	general	w2v	56.5359
군경	0	general	w2v	56.3518
대비	1	general	w2v	61.3833
우리	0	general	w2v	61.2069
미대	0	general	w2v	61.0315
전형	0	general	w2v	60.3399
의전	0	general	w2v	60.1695
인간다움	0	general	w2v	60.2817
역할	1	general	w2v	64.1221
몰골	0	general	w2v	63.9594
소결	0	general	w2v	63.7975
키	1	general	w2v	64.25
