lexeme	ambiguous	mode	model	score
군기	0	uniformed	ft	100.0
교회	0	uniformed	ft	50.0
잡초	0	uniformed	ft	33.3333
노상	0	uniformed	ft	25.0
쌍방	0	uniformed	ft	20.0
미소	1	uniformed	ft	33.3333
법인	0	uniformed	ft	42.8571
안정	1	uniformed	ft	37.5
주총	0	uniformed	ft	44.4444
해이	0	uniformed	ft	50.0
반입	0	uniformed	ft	45.4545
선주	0	uniformed	ft	50.0
노임	0	uniformed	ft	46.1538
익명	0	uniformed	ft	50.0
오피스텔	0	uniformed	ft	46.6667
루터	0	uniformed	ft	43.75
식구	1	uniformed	ft	41.1765
두바이	0	uniformed	ft	44.4444
특검	0	uniformed	ft	42.1053
건	0	uniformed	ft	40.0
감산	0	uniformed	ft	38.0952
차제	0	uniformed	ft	36.3636
튀니지	0	uniformed	ft	34.7826
유죄	1	uniformed	ft	37.5
승소	0	uniformed	ft	36.0
캔버스	0	uniformed	ft	34.6154
워싱턴	0	uniformed	ft	33.3333
떡	0	uniformed	ft	35.7143
파악	1	uniformed	ft	37.931
조문	0	uniformed	ft	36.6667
필치	0	uniformed	ft	38.7097
덕목	0	uniformed	ft	37.5
번역	0	uniformed	ft	36.3636
인사	1	uniformed	ft	35.2941
적대	0	uniformed	ft	37.1429
비결	0	uniformed	ft	36.1111
용액	0	uniformed	ft	35.1351
갈	0	uniformed	ft	34.2105
명단	0	uniformed	ft	35.8974
일괄	0	uniformed	ft	37.5
종가	0	uniformed	ft	36.5854
영구	0	uniformed	ft	35.7143
이달	0	uniformed	ft	34.8837
하사	0	uniformed	ft	34.0909
의혹	0	uniformed	ft	33.3333
욕구	0	uniformed	ft	32.6087
강단	0	uniformed	ft	31.9149
컬링	0	uniformed	ft	33.3333
우후죽순	0	uniformed	ft	32.6531
인지	0	uniformed	ft	34.0
예능	0	uniformed	ft	33.3333
슬픔	0	uniformed	ft	34.6154
획득	0	uniformed	ft	33.9623
캄보디아	0	uniformed	ft	33.3333
검정	1	uniformed	ft	34.5455
화학	0	uniformed	ft	33.9286
선교	1	uniformed	ft	35.0877
타수	0	uniformed	ft	34.4828
공사	1	uniformed	ft	33.8983
각별	0	uniformed	ft	33.3333
군경	0	uniformed	ft	32.7869
대비	1	uniformed	ft	33.871
우리	0	uniformed	ft	33.3333
미대	0	uniformed	ft	32.8125
전형	0	uniformed	ft	33.8462
의전	0	uniformed	ft	33.3333
인간다움	0	uniformed	ft	32.8358
역할	1	uniformed	ft	33.8235
몰골	0	uniformed	ft	33.3333
소결	0	uniformed	ft	34.2857
키	1	uniformed	ft	33.8028
아수라	0	uniformed	ft	33.3333
본격	0	uniformed	ft	32.8767
탈당	0	uniformed	ft	32.4324
제자	0	uniformed	ft	33.3333
불화	0	uniformed	ft	34.2105
다롄	0	uniformed	ft	35.0649
상담	0	uniformed	ft	35.8974
반문	0	uniformed	ft	35.443
순례	1	uniformed	ft	36.25
전기	0	uniformed	ft	37.037
초점	1	uniformed	ft	37.8049
에너지	1	uniformed	ft	38.5542
예시	0	uniformed	ft	38.0952
기타	1	uniformed	ft	37.6471
벨기에	0	uniformed	ft	37.2093
홈	0	uniformed	ft	36.7816
야	0	uniformed	ft	37.5
생강	0	uniformed	ft	37.0787
일대	0	uniformed	ft	37.7778
차단	1	uniformed	ft	38.4615
향응	0	uniformed	ft	38.0435
밖	1	uniformed	ft	37.6344
백방	0	uniformed	ft	38.2979
명	0	uniformed	ft	37.8947
전구	0	uniformed	ft	37.5
소지	1	uniformed	ft	38.1443
전방	0	uniformed	ft	37.7551
비서	1	uniformed	ft	38.3838
전지	1	uniformed	ft	38.0
함선	0	uniformed	ft	37.6238
도심	0	uniformed	ft	38.2353
편지	0	uniformed	ft	37.8641
에스토니아	0	uniformed	ft	37.5
영사	0	uniformed	ft	38.0952
원폭	0	uniformed	ft	37.7358
리시브	0	uniformed	ft	38.3178
전집	0	uniformed	ft	37.963
특보	0	uniformed	ft	38.5321
갈망	0	uniformed	ft	39.0909
호흡	1	uniformed	ft	39.6396
과반	1	uniformed	ft	40.1786
검토	1	uniformed	ft	39.823
